country_code,year,unemployment_rate,internet_users,gdp_per_capita,tertiary_enrollment
ABW,1986,,,6767.55922942669,
ABW,1987,,,8244.04566011433,
ABW,1988,,,10056.2613927414,
ABW,1989,,,11507.2171509849,
ABW,1990,,0.0,12187.5363611898,
ABW,1991,,,13233.9905169683,
ABW,1992,,,13892.6051427736,
ABW,1993,,,14700.9598081521,
ABW,1994,,,16055.2877874337,
ABW,1995,,,16548.7173868987,
ABW,1996,,2.77,16620.9545555513,
ABW,1997,,,17750.0095644198,
ABW,1998,,,18828.0870594071,
ABW,1999,,4.51,19216.1972354472,25.6337509155273
ABW,2000,,15.4428229480349,20681.0230269625,28.3303394317627
ABW,2001,,17.1,20740.1325828172,28.8601303100586
ABW,2002,,18.8,21307.2482505267,28.5816898345947
ABW,2003,,20.8,21949.4859960868,30.3779106140137
ABW,2004,,23.0,23700.6319899197,30.352689743042
ABW,2005,,25.4,24171.8371325422,36.204231262207
ABW,2006,,28.0,24845.65848362,34.2268714904785
ABW,2007,,30.9,26736.3089444046,34.8968086242676
ABW,2008,,52.0,28171.9094008501,35.0970611572266
ABW,2009,,58.0,25134.7712303589,34.4308586120605
ABW,2010,,62.0,24093.1401510626,36.0625305175781
ABW,2011,,69.0,25712.3843015186,37.8648109436035
ABW,2012,,74.0,25119.6655449838,38.8641815185547
ABW,2013,,78.9,25813.5714408438,17.1258697509766
ABW,2014,,83.78,26129.8390617693,17.7518997192383
ABW,2015,,88.661226932496,27458.2201537506,16.7312393188477
ABW,2016,,93.542453865048,27441.5502144601,17.1416206359863
ABW,2017,,97.17,28440.0416881491,
ABW,2018,,,30082.1584226798,
ABW,2019,,,30654.4851235397,
ABW,2020,,,22664.3709949437,
ABW,2021,,,26827.3447869986,
ABW,2022,,,31000.5713798732,
ABW,2023,,,34897.6183932009,
ABW,2024,,,38590.5650288641,14.0655418559377
AFE,1960,,,186.089514881165,
AFE,1961,,,186.909365228821,
AFE,1962,,,197.36787649827,
AFE,1963,,,225.400455705208,
AFE,1964,,,208.963065980073,
AFE,1965,,,226.836513295836,
AFE,1966,,,240.912196125435,
AFE,1967,,,243.77399986481,
AFE,1968,,,257.144252415425,
AFE,1969,,,281.579363776427,
AFE,1970,,,276.733386190782,1.88971996307373
AFE,1971,,,294.814654215325,1.82993996143341
AFE,1972,,,311.465573381367,1.93185997009277
AFE,1973,,,389.729674712988,1.89342999458313
AFE,1974,,,463.469548850461,1.97111999988556
AFE,1975,,,479.079597720244,2.0278000831604
AFE,1976,,,468.775304383329,2.06860995292664
AFE,1977,,,518.359550068184,2.10810995101929
AFE,1978,,,571.618271488354,2.19693994522095
AFE,1979,,,634.449175277502,2.24832010269165
AFE,1980,,,773.302496295457,2.31379008293152
AFE,1981,,,777.6292577402,2.37480998039246
AFE,1982,,,725.548722322091,2.54147005081177
AFE,1983,,,732.346683664132,2.57652997970581
AFE,1984,,,650.347927128187,2.61872005462646
AFE,1985,,,554.222221130921,2.71170997619629
AFE,1986,,,578.318417094435,2.80894994735718
AFE,1987,,,664.792922745199,2.90907001495361
AFE,1988,,,704.143241259139,3.01823997497559
AFE,1989,,,728.244534303378,3.1723198890686
AFE,1990,,,822.404371825312,3.19349002838135
AFE,1991,8.05080898877577,,864.175528692201,3.32539010047913
AFE,1992,8.15827337351447,,732.912138733145,3.44453001022339
